Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 1st, 2020 00:00,2
Jan 1st, 2020 00:15,2
Jan 1st, 2020 00:30,2
Jan 1st, 2020 00:45,1
Jan 1st, 2020 01:00,4
Jan 1st, 2020 01:15,2
Jan 1st, 2020 01:30,0
Jan 1st, 2020 01:45,0
Jan 1st, 2020 02:00,2
Jan 1st, 2020 02:15,0
Jan 1st, 2020 02:30,0
Jan 1st, 2020 02:45,0
Jan 1st, 2020 03:00,0
Jan 1st, 2020 03:15,0
Jan 1st, 2020 03:30,0
Jan 1st, 2020 03:45,0
Jan 1st, 2020 04:00,0
Jan 1st, 2020 04:15,0
Jan 1st, 2020 04:30,0
Jan 1st, 2020 04:45,0
Jan 1st, 2020 05:00,0
Jan 1st, 2020 05:15,0
Jan 1st, 2020 05:30,0
Jan 1st, 2020 05:45,0
Jan 1st, 2020 06:00,0
Jan 1st, 2020 06:15,0
Jan 1st, 2020 06:30,0
Jan 1st, 2020 06:45,1
Jan 1st, 2020 07:00,1
Jan 1st, 2020 07:15,2
Jan 1st, 2020 07:30,1
Jan 1st, 2020 07:45,1
Jan 1st, 2020 08:00,1
Jan 1st, 2020 08:15,1
Jan 1st, 2020 08:30,2
Jan 1st, 2020 08:45,0
Jan 1st, 2020 09:00,2
Jan 1st, 2020 09:15,3
Jan 1st, 2020 09:30,0
Jan 1st, 2020 09:45,3
Jan 1st, 2020 10:00,2
Jan 1st, 2020 10:15,8
Jan 1st, 2020 10:30,4
Jan 1st, 2020 10:45,5
Jan 1st, 2020 11:00,2
Jan 1st, 2020 11:15,16
Jan 1st, 2020 11:30,11
Jan 1st, 2020 11:45,72
Jan 1st, 2020 12:00,9
Jan 1st, 2020 12:15,10
Jan 1st, 2020 12:30,3
Jan 1st, 2020 12:45,5
Jan 1st, 2020 13:00,9
Jan 1st, 2020 13:15,8
Jan 1st, 2020 13:30,4
Jan 1st, 2020 13:45,7
Jan 1st, 2020 14:00,18
Jan 1st, 2020 14:15,6
Jan 1st, 2020 14:30,5
Jan 1st, 2020 14:45,9
Jan 1st, 2020 15:00,6
Jan 1st, 2020 15:15,8
Jan 1st, 2020 15:30,4
Jan 1st, 2020 15:45,5
Jan 1st, 2020 16:00,6
Jan 1st, 2020 16:15,5
Jan 1st, 2020 16:30,4
Jan 1st, 2020 16:45,6
Jan 1st, 2020 17:00,1
Jan 1st, 2020 17:15,2
Jan 1st, 2020 17:30,7
Jan 1st, 2020 17:45,3
Jan 1st, 2020 18:00,4
Jan 1st, 2020 18:15,2
Jan 1st, 2020 18:30,2
Jan 1st, 2020 18:45,1
Jan 1st, 2020 19:00,0
Jan 1st, 2020 19:15,0
Jan 1st, 2020 19:30,2
Jan 1st, 2020 19:45,1
Jan 1st, 2020 20:00,0
Jan 1st, 2020 20:15,1
Jan 1st, 2020 20:30,2
Jan 1st, 2020 20:45,2
Jan 1st, 2020 21:00,0
Jan 1st, 2020 21:15,0
Jan 1st, 2020 21:30,1
Jan 1st, 2020 21:45,0
Jan 1st, 2020 22:00,0
Jan 1st, 2020 22:15,4
Jan 1st, 2020 22:30,2
Jan 1st, 2020 22:45,0
Jan 1st, 2020 23:00,2
Jan 1st, 2020 23:15,1
Jan 1st, 2020 23:30,2
Jan 1st, 2020 23:45,0
Jan 2nd, 2020 00:00,2
Jan 2nd, 2020 00:15,1
Jan 2nd, 2020 00:30,0
Jan 2nd, 2020 00:45,0
Jan 2nd, 2020 01:00,1
Jan 2nd, 2020 01:15,1
Jan 2nd, 2020 01:30,0
Jan 2nd, 2020 01:45,0
Jan 2nd, 2020 02:00,0
Jan 2nd, 2020 02:15,0
Jan 2nd, 2020 02:30,0
Jan 2nd, 2020 02:45,0
Jan 2nd, 2020 03:00,0
Jan 2nd, 2020 03:15,0
Jan 2nd, 2020 03:30,0
Jan 2nd, 2020 03:45,0
Jan 2nd, 2020 04:00,1
Jan 2nd, 2020 04:15,0
Jan 2nd, 2020 04:30,0
Jan 2nd, 2020 04:45,0
Jan 2nd, 2020 05:00,0
Jan 2nd, 2020 05:15,1
Jan 2nd, 2020 05:30,1
Jan 2nd, 2020 05:45,0
Jan 2nd, 2020 06:00,0
Jan 2nd, 2020 06:15,1
Jan 2nd, 2020 06:30,0
Jan 2nd, 2020 06:45,1
Jan 2nd, 2020 07:00,1
Jan 2nd, 2020 07:15,3
Jan 2nd, 2020 07:30,5
Jan 2nd, 2020 07:45,3
Jan 2nd, 2020 08:00,2
Jan 2nd, 2020 08:15,1
Jan 2nd, 2020 08:30,1
Jan 2nd, 2020 08:45,7
Jan 2nd, 2020 09:00,3
Jan 2nd, 2020 09:15,0
Jan 2nd, 2020 09:30,2
Jan 2nd, 2020 09:45,4
Jan 2nd, 2020 10:00,4
Jan 2nd, 2020 10:15,9
Jan 2nd, 2020 10:30,1
Jan 2nd, 2020 10:45,5
Jan 2nd, 2020 11:00,4
Jan 2nd, 2020 11:15,9
Jan 2nd, 2020 11:30,7
Jan 2nd, 2020 11:45,17
Jan 2nd, 2020 12:00,4
Jan 2nd, 2020 12:15,5
Jan 2nd, 2020 12:30,3
Jan 2nd, 2020 12:45,6
Jan 2nd, 2020 13:00,13
Jan 2nd, 2020 13:15,3
Jan 2nd, 2020 13:30,7
Jan 2nd, 2020 13:45,11
Jan 2nd, 2020 14:00,6
Jan 2nd, 2020 14:15,8
Jan 2nd, 2020 14:30,10
Jan 2nd, 2020 14:45,17
Jan 2nd, 2020 15:00,15
Jan 2nd, 2020 15:15,15
Jan 2nd, 2020 15:30,3
Jan 2nd, 2020 15:45,5
Jan 2nd, 2020 16:00,10
Jan 2nd, 2020 16:15,11
Jan 2nd, 2020 16:30,6
Jan 2nd, 2020 16:45,16
Jan 2nd, 2020 17:00,16
Jan 2nd, 2020 17:15,14
Jan 2nd, 2020 17:30,7
Jan 2nd, 2020 17:45,9
Jan 2nd, 2020 18:00,6
Jan 2nd, 2020 18:15,3
Jan 2nd, 2020 18:30,4
Jan 2nd, 2020 18:45,3
Jan 2nd, 2020 19:00,5
Jan 2nd, 2020 19:15,1
Jan 2nd, 2020 19:30,2
Jan 2nd, 2020 19:45,3
Jan 2nd, 2020 20:00,1
Jan 2nd, 2020 20:15,0
Jan 2nd, 2020 20:30,1
Jan 2nd, 2020 20:45,1
Jan 2nd, 2020 21:00,0
Jan 2nd, 2020 21:15,0
Jan 2nd, 2020 21:30,2
Jan 2nd, 2020 21:45,2
Jan 2nd, 2020 22:00,0
Jan 2nd, 2020 22:15,0
Jan 2nd, 2020 22:30,2
Jan 2nd, 2020 22:45,3
Jan 2nd, 2020 23:00,0
Jan 2nd, 2020 23:15,0
Jan 2nd, 2020 23:30,0
Jan 2nd, 2020 23:45,0
Jan 3rd, 2020 00:00,1
Jan 3rd, 2020 00:15,0
Jan 3rd, 2020 00:30,0
Jan 3rd, 2020 00:45,1
Jan 3rd, 2020 01:00,0
Jan 3rd, 2020 01:15,0
Jan 3rd, 2020 01:30,0
Jan 3rd, 2020 01:45,0
Jan 3rd, 2020 02:00,0
Jan 3rd, 2020 02:15,0
Jan 3rd, 2020 02:30,0
Jan 3rd, 2020 02:45,0
Jan 3rd, 2020 03:00,0
Jan 3rd, 2020 03:15,0
Jan 3rd, 2020 03:30,1
Jan 3rd, 2020 03:45,0
Jan 3rd, 2020 04:00,0
Jan 3rd, 2020 04:15,0
Jan 3rd, 2020 04:30,0
Jan 3rd, 2020 04:45,0
Jan 3rd, 2020 05:00,0
Jan 3rd, 2020 05:15,0
Jan 3rd, 2020 05:30,0
Jan 3rd, 2020 05:45,1
Jan 3rd, 2020 06:00,0
Jan 3rd, 2020 06:15,1
Jan 3rd, 2020 06:30,2
